,descr,date,US_img,E_ID
R-72,,"Thu, 23-Jul-2020 (18:23:55)",data/img/R-0a1e4c22-b07c-40cf-a7dc-7d66ded7bc2f_img.png,E-13
R-73,,"Thu, 23-Jul-2020 (18:24:05)",data/img/R-75a5d229-80a7-42c2-94d9-c71dcec740f0_img.png,E-13
R-74,,"Thu, 23-Jul-2020 (18:24:28)",data/img/R-fc9e2845-65e2-40fd-854d-54d7e1ab9de4_img.png,E-13
R-75,,"Thu, 23-Jul-2020 (18:24:51)",data/img/R-77d3f334-f481-4b79-acf3-fc62308d9ad5_img.png,E-13
R-76,,"Thu, 23-Jul-2020 (18:24:58)",data/img/R-523a687a-2f56-4efe-b200-441d8271bdd7_img.png,E-13
R-77,,"Thu, 23-Jul-2020 (18:25:01)",data/img/R-d331d10d-ce79-49a4-9186-431c628afd3b_img.png,E-13
R-78,,"Thu, 23-Jul-2020 (18:25:05)",data/img/R-3f77044f-f642-4284-846d-b884abb39f74_img.png,E-13
R-79,,"Thu, 23-Jul-2020 (18:25:10)",data/img/R-bee9b283-adbb-4685-8662-06676652e9ae_img.png,E-13
R-80,,"Thu, 23-Jul-2020 (18:25:15)",data/img/R-b1fb1dc1-deeb-4dda-9581-22a6e7cc6dc5_img.png,E-13
R-81,,"Thu, 23-Jul-2020 (18:25:29)",data/img/R-03d5237d-8953-42ed-9482-10c1c50850ed_img.png,E-13
R-82,,"Thu, 23-Jul-2020 (18:25:36)",data/img/R-07600259-aca7-46e9-b713-dd30274a9a1c_img.png,E-13
R-83,,"Thu, 23-Jul-2020 (18:25:40)",data/img/R-a38003a6-789e-44bd-a0a2-dd51ddd363a7_img.png,E-13
R-84,,"Thu, 23-Jul-2020 (18:25:43)",data/img/R-72eaa389-562b-425b-a67f-7fca686541e5_img.png,E-13
R-85,,"Thu, 23-Jul-2020 (18:25:54)",data/img/R-9acbebd5-e4ae-461c-b1db-f388616101f2_img.png,E-13
R-86,,"Thu, 23-Jul-2020 (18:25:58)",data/img/R-811f164a-a8ba-4177-9463-3d89c22356f3_img.png,E-13
R-87,,"Thu, 23-Jul-2020 (18:26:05)",data/img/R-1e49b253-632b-40c7-9138-50f82cc113da_img.png,E-13
R-88,,"Thu, 23-Jul-2020 (18:26:11)",data/img/R-b9b367e9-051a-44c5-a402-226762743621_img.png,E-13
R-89,,"Thu, 23-Jul-2020 (18:26:20)",data/img/R-6fa17c8a-037a-4cbf-a938-e16fc29e1308_img.png,E-13
R-90,,"Thu, 23-Jul-2020 (18:26:23)",data/img/R-75049a14-4fc2-43f7-968e-5bd820d2643b_img.png,E-13
R-91,,"Thu, 23-Jul-2020 (18:26:28)",data/img/R-a151f7df-722d-4936-b627-9c0828e4c60f_img.png,E-13
R-92,,"Thu, 23-Jul-2020 (18:26:32)",data/img/R-31d467e5-c47e-41a5-964d-960fbfc86a4f_img.png,E-13
R-93,,"Thu, 23-Jul-2020 (18:26:37)",data/img/R-6fc5705b-a942-41c9-bb25-efc8a51f6fe3_img.png,E-13
R-94,,"Thu, 23-Jul-2020 (18:26:41)",data/img/R-4263fcaa-3583-4454-a4a7-4f74e5000a6a_img.png,E-13
R-95,,"Thu, 23-Jul-2020 (18:26:44)",data/img/R-03432f1c-9d6a-44d2-acdd-11583d2e978e_img.png,E-13
R-96,,"Thu, 23-Jul-2020 (18:26:49)",data/img/R-979c58a0-4edc-4526-ad1c-5e095ad10ef9_img.png,E-13
R-97,,"Thu, 23-Jul-2020 (18:27:01)",data/img/R-bb785252-dfba-41e1-a182-9892d6b1a48d_img.png,E-13
R-98,,"Thu, 23-Jul-2020 (18:27:04)",data/img/R-1c22c84b-cd8b-4502-a4f3-76562de1378f_img.png,E-13
R-99,,"Thu, 23-Jul-2020 (18:27:08)",data/img/R-0f5410ce-f1c3-4053-8da2-f6d2e827bebd_img.png,E-13
R-100,,"Thu, 23-Jul-2020 (18:27:13)",data/img/R-235a2404-fb1d-4b3e-b748-1f0292eec974_img.png,E-13
R-101,,"Thu, 23-Jul-2020 (18:27:17)",data/img/R-cf8c150f-10a5-4781-97fa-77cf7a7d728f_img.png,E-13
