,ID,handle_state,refname,MISSING,Q0,Qx,Qy,Qz,Tx,Ty,Tz,calc_Err,port_state,frame_id,R_ID
113,0B,003,Rechter Hüftknochen,False,0.0136,0.7786,0.6272,-0.0070,-151.7300,-38.5400,-229.2300,0.0486,00020039,0003E7D8,R-28
114,0C,001,Linker Hüftknochen,False,0.4504,0.6094,-0.2283,0.6112,-126.6800,-216.0100,-222.6300,0.0122,0002003F,0003E7D8,R-28
115,0D,001,Brustbein,False,0.5354,0.6901,-0.2557,0.4141,194.1800,-64.2100,-227.4300,0.0991,0002003F,0003E7D8,R-28
116,0A,00D,Ultraschallkopf,False,0.0331,0.6582,-0.7517,-0.0219,-66.0900,42.0100,-260.9100,0.0081,0002003D,0003FFD0,R-29
117,0B,003,Rechter Hüftknochen,False,0.0599,0.1025,0.9914,-0.0542,-33.4600,-156.6900,-228.7400,0.0169,00020039,0003FFD0,R-29
118,0C,001,Linker Hüftknochen,False,0.0650,0.5094,0.4059,0.7559,142.0500,-123.8900,-223.2500,0.0241,0002003F,0003FFD0,R-29
119,0D,001,Brustbein,False,0.2788,0.5449,0.4586,0.6441,-22.8900,192.2000,-228.9000,0.1854,0002003F,0003FFD0,R-29
120,0A,00D,Ultraschallkopf,False,0.0419,0.5555,-0.8295,-0.0372,-65.1100,142.9000,-262.4500,0.0580,0002003D,00043028,R-30
121,0B,003,Rechter Hüftknochen,False,0.0544,0.2139,0.9734,-0.0604,-77.1900,-58.1400,-229.3400,0.0232,00020039,00043028,R-30
122,0C,001,Linker Hüftknochen,False,0.1439,0.5416,0.3678,0.7419,100.9300,-64.8900,-224.1400,0.0111,0002003F,00043028,R-30
123,0D,001,Brustbein,False,0.2086,0.6734,0.3023,0.6414,10.3600,279.1100,-231.2500,0.1191,0002003F,00043028,R-30
124,0A,00D,Ultraschallkopf,False,0.0305,0.6542,-0.7553,-0.0200,-84.1400,-67.5800,-259.7300,0.0222,0002003D,00045D78,R-31
125,0B,003,Rechter Hüftknochen,False,0.0632,0.0771,0.9938,-0.0487,-42.8200,-264.5300,-228.2200,0.0158,00020039,00045D78,R-31
126,0C,001,Linker Hüftknochen,False,0.1616,0.4233,0.4836,0.7488,130.3500,-222.6400,-222.2400,0.0097,0002003F,00045D78,R-31
127,0D,001,Brustbein,False,0.3464,0.4675,0.5229,0.6227,-50.5700,83.7600,-226.9500,0.0840,0002003F,00045D78,R-31
128,0A,00D,Ultraschallkopf,False,0.0359,0.7047,-0.7082,-0.0195,-64.7600,69.5500,-261.4100,0.0028,0002003D,00046AE0,R-32
129,0B,003,Rechter Hüftknochen,False,0.0729,-0.0069,0.9958,-0.0545,9.0300,-117.9400,-229.7400,0.0645,00020039,00046AE0,R-32
130,0C,001,Linker Hüftknochen,False,0.1300,0.3562,0.5334,0.7560,172.8200,-47.1300,-224.0700,0.0073,0002003F,00046AE0,R-32
131,0D,001,Brustbein,False,0.2273,0.4734,0.5384,0.6589,-58.8900,223.4400,-228.6100,0.1018,0002003F,00046AE0,R-32
132,0A,00D,Ultraschallkopf,False,0.0365,0.7052,-0.7077,-0.0205,-82.0100,-69.3200,-259.6400,0.0310,0002003D,00048290,R-33
133,0B,003,Rechter Hüftknochen,False,0.0693,-0.0090,0.9964,-0.0472,-7.9400,-256.6000,-228.2100,0.0291,00020039,00048290,R-33
134,0C,001,Linker Hüftknochen,False,0.1129,0.3687,0.5260,0.7579,155.2400,-185.4300,-222.8500,0.0601,0002003F,00048290,R-33
135,0D,001,Brustbein,False,0.3000,0.4083,0.5669,0.6493,-76.0600,84.8600,-226.5700,0.1036,0002003F,00048290,R-33
136,0A,00D,Ultraschallkopf,False,0.0179,0.1223,-0.9919,-0.0281,5.7200,-10.3400,-261.1000,0.0282,0002003D,00049710,R-34
137,0B,003,Rechter Hüftknochen,False,0.0254,0.6440,0.7633,-0.0440,-163.4500,-112.7700,-228.8500,0.0577,00020039,00049710,R-34
138,0C,001,Linker Hüftknochen,False,0.4113,0.6625,0.0127,0.6258,-71.8700,-266.0400,-223.8500,0.0161,0002003F,00049710,R-34
139,0D,001,Brustbein,False,0.4592,0.7406,-0.0610,0.4865,165.5500,-2.5300,-227.9900,0.2128,0002003F,00049710,R-34
140,0A,00D,Ultraschallkopf,False,0.0164,0.2772,-0.9605,-0.0113,-36.8100,94.7300,-262.4200,0.0306,0002003D,0004AEB8,R-35
141,0B,003,Rechter Hüftknochen,False,0.0311,0.4940,0.8679,-0.0402,-160.9400,-58.7000,-229.3100,0.0330,00020039,0004AEB8,R-35
142,0C,001,Linker Hüftknochen,False,0.2645,0.6552,0.1216,0.6970,-19.7100,-168.5300,-224.2000,0.0091,0002003F,0004AEB8,R-35
143,0D,001,Brustbein,False,0.3340,0.7459,0.0548,0.5735,107.2800,163.0900,-229.6700,0.1083,0002003F,0004AEB8,R-35
